"Id1","Id2","McdFullName1","McdFullName2","Lv3Name1","Lv3Name2","PolyId1","PolyId2","Cou1Name1","Cou1Name2","Length"
"0232900800","0470557600","Gibson township","Benezette township","","",1,1,"Cameron","Elk",20986.3005530189
"0232900800","0233163200","Gibson township","Grove township","","",1,1,"Cameron","Cameron",20937.8776019329
"0630675200","0631035200","Blacklick township","Burrell township","","",1,1,"Indiana","Indiana",20923.9606886793
"0350499200","0355574400","Beech Creek township","Noyes township","","",1,1,"Clinton","Clinton",20712.0155976193
"0233163200","0352132800","Grove township","East Keating township","","",1,1,"Cameron","Clinton",20701.9699928044
"0533599200","0533801600","Howe township","Jenks township","","",1,1,"Forest","Forest",20675.8145334372
"0552517600","0997692000","Fannett township","Toboyne township","","",1,1,"Franklin","Perry",20550.1605943603
"0593788800","0595099200","Jefferson township","Morgan township","","",1,1,"Greene","Greene",20441.4500367647
"1035772800","1275848000","Palmyra township","Paupack township","","",1,1,"Pike","Wayne",20389.0343139984
"1171876000","1177034400","Delmar township","Shippen township","","",1,1,"Tioga","Tioga",20314.9433587775
"0752122400","0755472000","East Hanover township","North Annville township","","",1,1,"Lebanon","Lebanon",20031.2560949593
"1291591200","1291948000","Cook township","Donegal township","","",1,1,"Westmoreland","Westmoreland",19996.1097039005
"1291591200","1294324000","Cook township","Ligonier township","","",1,1,"Westmoreland","Westmoreland",19860.1130115981
"0152734400","0155744800","Franklin township","Overton township","","",1,1,"Bradford","Bradford",19794.9880304262
"0030392800","0036100000","Baldwin borough","Pittsburgh city","","",1,1,"Allegheny","Allegheny",19774.6610221505
"1331565600","1335322400","Conewago township","Newberry township","","",1,1,"York","York",19730.5204647564
"0473836800","0476734400","Jones township","St. Marys city","","",1,1,"Elk","Elk",19724.6806432163
"0091766400","0094444800","Cumberland Valley township","Londonderry township","","",1,1,"Bedford","Bedford",19645.2718051791
"0711538400","0718315200","Columbia borough","West Hempfield township","","",1,1,"Lancaster","Lancaster",19644.2533935298
"0254240000","0255896800","Lehigh township","Penn Forest township","","",1,1,"Carbon","Carbon",19635.4996891871
"0513389600","1110040400","Henry Clay township","Addison township","","",1,1,"Fayette","Somerset",19533.8477343249
"1114513600","1117933600","Lower Turkeyfoot township","Upper Turkeyfoot township","","",1,1,"Somerset","Somerset",19404.3422152838
"0092173600","0098392000","East Providence township","West Providence township","","",1,1,"Bedford","Bedford",19403.7295956558
"0530422400","0650424000","Barnett township","Barnett township","","",1,1,"Forest","Jefferson",19377.6492526969
"0891596000","0897696000","Coolbaugh township","Tobyhanna township","","",1,1,"Monroe","Monroe",19354.721363767
"0137162400","0137816800","Snyder township","Tyrone borough","","",1,1,"Blair","Blair",19056.0255410522
"1312675200","1315573600","Forkston township","Noxen township","","",1,1,"Wyoming","Wyoming",19011.8103829565
"0271780000","0350499200","Curtin township","Beech Creek township","","",1,1,"Centre","Clinton",18991.3150233272
